gender,age,have_you_recently_experienced_stress_in_your_life,have_you_noticed_a_rapid_heartbeat_or_palpitations,have_you_been_dealing_with_anxiety_or_tension_recently,do_you_face_any_sleep_problems_or_difficulties_falling_asleep,have_you_been_dealing_with_anxiety_or_tension_recently_1,have_you_been_getting_headaches_more_often_than_usual,do_you_get_irritated_easily,do_you_have_trouble_concentrating_on_your_academic_tasks,have_you_been_feeling_sadness_or_low_mood,have_you_been_experiencing_any_illness_or_health_issues,do_you_often_feel_lonely_or_isolated,do_you_feel_overwhelmed_with_your_academic_workload,"are_you_in_competition_with_your_peers,_and_does_it_affect_you",do_you_find_that_your_relationship_often_causes_you_stress,are_you_facing_any_difficulties_with_your_professors_or_instructors,is_your_working_environment_unpleasant_or_stressful,do_you_struggle_to_find_time_for_relaxation_and_leisure_activities,is_your_hostel_or_home_environment_causing_you_difficulties,do_you_lack_confidence_in_your_academic_performance,do_you_lack_confidence_in_your_choice_of_academic_subjects,academic_and_extracurricular_activities_conflicting_for_you,do_you_attend_classes_regularly,weight_change,label
1,19,4,5,4,2,2,2,1,2,5,3,2,3,2,2,2,1,1,3,5,2,1,3,2,1
1,19,3,2,2,2,2,2,2,2,3,4,2,4,2,2,2,2,1,3,3,2,5,5,1,1
1,18,4,2,5,2,2,2,2,3,3,1,2,3,2,2,2,2,2,2,2,2,3,5,3,1
1,28,2,2,1,2,2,3,3,2,2,1,2,1,2,2,3,2,2,2,1,1,4,5,3,1
0,19,3,4,2,3,3,2,3,3,2,2,3,4,3,4,4,3,3,2,2,2,2,5,5,1
0,20,4,3,2,1,4,2,2,4,4,4,2,1,2,1,1,2,1,5,1,1,5,1,5,1
0,20,4,4,4,4,1,2,2,2,2,1,1,3,2,3,1,2,2,5,4,3,1,3,4,1
0,19,5,5,2,4,4,4,4,2,3,1,1,1,1,5,4,1,1,5,1,2,5,5,2,1
0,19,4,3,2,1,1,2,2,5,4,3,1,1,2,1,3,1,2,5,3,2,4,4,2,1
0,21,4,2,3,2,1,5,4,3,3,4,4,3,3,2,3,3,3,2,1,1,5,4,3,1
0,41,2,1,4,2,4,1,1,4,3,3,1,3,3,1,1,2,1,5,1,2,2,4,2,1
1,18,3,3,3,3,1,2,1,4,4,2,4,3,2,3,1,2,2,3,4,1,5,5,2,1
1,21,2,2,5,2,1,2,2,5,4,3,4,3,2,2,4,1,1,1,2,3,1,4,1,1
1,32,4,3,1,3,1,4,3,3,2,1,1,1,2,5,1,1,1,1,2,1,3,2,4,1
1,20,3,2,3,2,2,2,2,3,2,4,3,3,2,4,4,4,2,2,3,4,4,3,2,1
1,21,4,2,3,1,2,2,1,3,4,4,1,3,3,2,1,1,1,1,2,3,4,4,2,1
0,19,2,2,3,2,3,3,4,3,2,1,2,5,4,3,1,2,2,3,2,1,2,2,1,1
0,19,2,2,3,4,1,4,4,4,4,2,2,3,2,3,4,2,5,2,2,3,2,5,5,1
0,19,5,5,5,2,3,3,1,5,4,2,1,3,2,3,1,2,2,3,4,3,5,3,1,1
0,20,3,2,3,4,2,5,5,4,3,3,5,3,3,3,1,2,3,2,1,1,2,5,3,1
0,19,4,3,3,4,4,1,4,4,1,1,2,3,2,2,2,2,1,1,2,1,5,3,2,1
0,18,3,2,2,2,2,1,1,1,1,1,5,5,5,5,5,5,5,3,2,3,4,5,2,1
1,18,3,4,4,2,3,5,2,1,5,4,3,3,1,3,3,1,3,2,3,3,3,3,2,1
0,37,3,2,3,4,5,5,5,4,5,4,4,2,4,3,2,3,4,3,2,2,4,3,5,2
0,15,2,1,3,4,5,1,1,3,2,1,2,1,2,2,3,2,3,1,3,2,1,3,1,1
0,19,4,5,3,4,5,3,2,3,1,1,3,2,2,2,1,1,3,4,4,3,4,5,2,1
0,21,5,4,4,4,2,4,4,4,2,3,2,4,2,1,1,3,1,4,1,1,4,4,4,1
0,21,3,2,1,4,5,3,1,3,1,1,1,5,3,1,1,4,4,2,2,3,2,1,2,1
0,21,2,1,5,5,5,5,5,5,1,4,2,3,1,1,1,2,2,1,4,3,2,3,3,1
0,21,2,3,1,5,5,1,2,1,4,3,3,2,1,1,1,2,2,3,1,1,3,3,2,1
0,19,4,4,4,2,1,2,2,3,2,1,2,3,4,2,2,3,5,2,4,3,4,3,3,1
0,21,4,3,2,2,4,2,5,2,2,3,5,3,1,1,1,2,3,1,1,1,2,3,1,1
0,21,2,1,3,3,1,2,2,3,4,3,3,4,2,2,3,2,2,2,1,3,3,3,2,1
0,22,4,4,2,2,1,2,3,2,1,1,2,1,2,5,2,2,4,5,5,5,2,4,2,1
1,20,2,1,5,3,1,1,1,1,2,1,1,4,2,2,3,4,3,1,3,5,4,4,2,1
1,20,2,2,1,2,2,3,4,3,2,3,2,3,2,3,2,1,4,3,4,5,2,4,1,1
0,21,2,3,4,1,2,3,3,2,3,3,3,3,1,1,1,2,5,2,3,2,3,4,2,1
0,19,4,3,3,3,3,4,5,3,2,3,1,1,3,2,2,2,1,1,3,4,3,4,2,1
0,20,4,3,4,2,4,4,2,4,4,4,2,3,2,4,2,1,1,3,1,2,1,3,2,1
1,20,4,4,2,2,1,4,5,3,1,3,1,1,1,5,3,1,1,4,4,3,2,3,5,1
0,19,1,3,2,5,5,5,5,5,5,5,1,4,2,3,1,1,1,2,2,1,2,3,2,1
0,22,2,2,3,3,1,5,5,1,2,1,4,3,3,2,1,1,1,2,2,2,4,2,5,1
1,19,4,4,1,3,4,2,1,2,2,3,2,1,2,3,4,2,2,3,5,5,2,4,2,1
0,20,2,3,2,1,2,2,4,2,5,2,2,3,5,3,1,1,1,2,3,2,2,3,2,1
0,19,2,1,2,2,3,3,1,2,2,3,4,3,3,4,2,2,3,2,2,2,2,2,4,1
1,20,3,4,3,2,2,2,1,2,3,2,1,1,2,1,2,5,2,2,4,4,4,4,4,1
1,20,2,3,3,5,5,3,1,1,1,1,1,3,2,1,2,3,3,2,3,2,4,4,3,1
0,21,3,3,3,1,1,2,2,3,4,3,4,4,3,3,2,2,2,3,4,4,4,3,4,1
0,15,4,3,2,3,4,1,2,2,1,2,1,1,2,1,5,1,1,1,5,4,3,3,4,1
1,17,4,3,5,3,4,2,3,1,3,2,3,1,2,2,5,4,3,4,3,2,2,5,2,1
0,21,2,2,1,4,4,4,1,1,1,1,5,4,1,1,5,1,2,1,3,3,2,2,2,1
0,18,4,2,3,3,2,2,3,1,1,2,1,3,1,2,5,3,2,3,3,4,1,4,2,1
0,21,2,2,2,4,4,4,2,4,3,3,2,3,3,3,2,1,1,5,3,2,1,3,3,1
1,20,3,2,2,2,2,1,1,1,3,3,1,1,2,1,5,1,2,1,2,3,4,3,2,1
0,20,3,4,4,2,3,1,1,4,3,2,3,1,2,2,3,4,1,1,4,3,1,4,1,1
0,19,3,2,2,5,4,3,1,4,3,2,2,4,1,1,1,2,3,2,1,1,2,5,3,1
0,28,4,5,4,3,3,4,4,1,1,2,5,1,1,1,1,2,1,1,4,3,2,5,2,1
0,18,1,1,1,4,3,3,1,3,3,2,4,4,4,2,2,3,4,2,1,1,1,1,1,1
1,19,1,2,1,4,4,2,4,1,3,3,2,1,1,1,1,2,3,3,2,2,2,4,1,1
0,19,4,2,2,5,4,3,4,2,5,4,3,1,2,2,3,2,1,2,1,1,1,1,1,1
0,19,3,4,3,3,2,1,1,2,3,2,3,4,2,5,2,2,3,5,1,5,3,5,3,1
1,20,3,2,2,3,2,4,3,1,3,2,3,1,2,2,3,4,3,3,2,3,5,3,4,1
1,20,2,2,1,3,4,4,1,5,3,3,3,1,2,3,2,1,1,2,3,3,3,5,3,1
0,18,3,3,4,3,2,1,2,1,2,1,2,1,1,1,1,2,1,1,5,5,4,4,3,1
0,20,4,4,4,4,4,2,2,4,1,2,3,2,3,4,3,2,3,2,4,2,2,3,3,1
1,21,2,3,1,5,4,2,1,3,3,2,3,2,3,3,2,3,3,3,2,2,2,3,2,1
0,18,5,5,5,4,3,3,5,4,4,4,3,3,2,2,3,2,2,3,5,5,5,4,5,2
1,19,2,1,1,3,4,2,1,1,2,2,2,1,1,1,1,3,2,1,1,1,1,3,1,0
1,17,4,3,4,4,4,3,4,4,4,4,4,3,4,3,4,4,3,3,3,4,4,2,4,2
1,19,3,3,1,1,1,2,3,2,4,3,1,2,3,1,4,1,1,1,3,4,2,5,2,1
1,18,4,3,4,5,2,1,4,3,4,4,4,4,2,2,2,2,3,4,3,1,2,3,2,1
0,20,3,3,4,4,4,2,1,3,2,1,2,2,2,2,1,4,3,1,2,1,1,1,4,1
0,18,5,5,5,4,5,4,4,4,5,4,5,5,1,1,3,1,1,2,5,5,5,3,5,2
0,18,2,3,1,2,1,4,2,1,2,4,1,1,5,5,2,4,3,2,3,2,2,2,4,1
1,20,4,3,5,4,5,5,3,3,4,3,2,2,1,1,1,1,1,1,3,4,4,3,3,1
1,19,2,3,2,1,5,2,3,1,1,4,4,2,4,1,3,3,2,1,1,3,3,3,3,1
1,20,3,2,3,4,4,4,4,2,3,5,4,3,4,2,5,4,3,1,2,3,3,3,2,1
0,19,3,2,1,1,1,2,1,1,1,3,2,1,1,2,3,2,3,4,2,2,4,4,2,1
0,19,2,1,3,2,2,3,3,1,4,3,2,4,3,1,3,2,3,1,2,2,3,1,2,1
0,20,2,2,5,3,2,3,1,4,3,3,4,4,1,5,3,3,3,1,2,1,1,2,3,1
0,18,3,2,2,4,4,4,2,2,1,3,2,1,2,1,2,1,2,1,1,1,3,3,3,1
0,18,2,1,5,3,1,3,1,2,3,4,4,2,2,4,1,2,3,2,3,2,1,1,3,1
0,21,2,2,5,5,5,5,1,4,2,5,4,2,1,3,3,2,3,2,3,1,1,3,2,1
0,18,3,4,5,1,2,1,4,3,3,4,3,3,5,4,4,4,3,3,2,3,3,2,2,1
1,24,2,3,1,2,2,3,2,1,2,3,4,2,1,1,2,2,2,1,1,4,5,5,5,1
0,21,3,4,4,2,5,2,2,3,5,4,4,3,4,4,4,4,4,3,4,2,2,1,3,1
0,21,1,2,1,2,2,3,4,3,3,1,1,2,3,2,4,3,1,2,3,2,2,2,2,1
0,19,4,2,1,2,3,2,1,1,2,5,2,1,4,3,4,4,4,4,2,3,5,4,2,1
0,18,3,2,1,1,1,1,2,1,1,4,4,2,1,3,2,1,2,2,2,1,1,1,1,0
1,20,2,2,2,3,4,3,2,3,2,4,5,4,4,4,5,4,5,5,1,3,3,4,1,1
0,20,3,4,2,3,3,2,3,3,3,2,1,4,2,1,2,4,1,1,5,3,2,2,2,1
1,20,2,3,3,2,2,3,2,2,3,4,5,5,3,3,4,3,2,2,1,1,4,2,2,1
1,19,1,1,1,1,1,1,3,2,1,1,5,2,3,1,1,3,2,2,2,1,1,1,2,0
0,19,2,1,3,4,3,4,4,3,3,4,4,4,4,2,3,2,4,2,1,1,1,4,4,1
0,17,3,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,5,3,1,1,2,4,3,0
0,17,3,3,1,3,2,3,1,2,2,2,2,3,3,1,4,2,3,1,1,1,2,3,1,1
0,18,3,3,1,1,1,5,4,1,1,3,2,3,1,4,3,3,2,1,1,1,3,5,1,1
0,20,3,3,1,1,2,1,3,1,2,4,4,4,2,2,1,2,3,4,2,4,5,4,1,1
0,18,3,3,4,3,3,2,3,3,1,4,3,2,1,4,3,2,3,1,1,1,1,5,3,1
0,18,4,2,1,3,3,1,1,2,4,3,3,4,4,3,3,4,1,1,1,1,1,5,2,1
1,19,3,2,4,3,2,3,1,2,2,1,3,2,2,1,3,2,1,1,1,5,5,4,4,1
1,18,3,3,4,3,2,2,4,1,2,3,4,4,2,3,4,4,4,2,2,2,2,4,3,1
0,20,3,3,1,1,2,5,1,1,4,2,5,4,4,2,5,4,1,1,1,2,3,2,1,1
0,20,2,3,3,3,2,4,4,4,3,3,4,3,3,3,4,3,2,2,3,1,2,4,2,1
0,20,3,3,1,3,3,2,1,1,1,2,3,4,1,2,3,4,1,1,5,2,1,4,2,1
0,19,2,3,2,5,4,3,1,2,3,5,4,4,3,5,4,4,3,2,2,5,4,5,3,1
0,19,2,3,2,3,2,3,4,2,3,3,1,1,3,3,1,1,3,3,4,3,3,4,3,1
0,20,2,2,1,3,2,3,1,2,1,2,5,2,1,2,5,2,4,1,1,1,3,4,2,1
0,20,5,2,5,3,3,3,1,2,1,1,4,4,1,1,4,4,1,1,1,1,5,1,3,1
0,19,2,3,1,2,1,2,1,1,3,2,4,5,3,2,4,5,4,4,2,2,1,2,1,1
0,19,1,1,4,1,2,3,2,3,3,3,2,1,3,3,2,1,1,1,1,1,1,1,1,0
0,19,3,4,3,3,2,3,2,3,2,3,4,5,2,3,4,5,1,2,2,3,2,4,4,1
1,20,3,2,4,4,4,3,3,2,2,1,1,5,2,1,1,5,4,2,5,2,3,2,1,1
1,21,4,2,1,2,2,2,1,1,3,3,4,4,3,3,4,4,1,2,2,3,2,2,2,1
1,19,3,2,4,4,4,4,3,4,2,1,1,1,2,1,1,1,1,2,3,2,3,2,2,1
1,24,3,2,2,4,3,1,2,1,2,2,2,2,2,2,2,2,5,1,1,1,2,4,2,1
1,20,3,2,3,4,4,4,1,1,1,1,3,2,1,1,3,2,4,3,4,3,3,3,1,1
0,19,2,3,3,2,1,2,3,2,1,2,4,4,1,2,4,4,4,3,3,2,2,4,2,1
0,19,4,3,4,5,4,2,1,1,3,3,3,1,3,3,3,1,2,2,2,3,3,4,4,1
0,19,2,2,1,2,4,3,4,2,2,1,5,5,2,1,5,5,4,1,1,1,1,3,3,1
0,20,2,2,3,4,3,2,3,3,2,2,1,2,2,2,1,2,4,1,3,4,3,3,3,1
0,19,4,3,4,1,4,2,1,2,1,1,2,2,1,1,2,2,5,1,1,4,1,2,3,1
0,18,3,4,2,1,1,2,3,5,1,1,2,5,1,1,2,5,4,4,5,5,3,4,1,1
0,19,4,3,3,5,2,4,3,3,4,2,2,2,4,2,2,2,4,3,5,3,1,3,2,1
0,19,2,2,5,5,5,1,1,2,1,1,1,2,1,1,1,2,1,4,1,2,4,3,3,1
1,19,3,3,5,1,1,2,1,1,2,2,3,2,2,2,3,2,2,4,2,5,2,4,1,1
1,19,1,2,5,3,2,2,3,2,2,5,2,2,2,5,2,2,1,3,3,3,3,4,3,1
1,19,2,2,3,2,3,3,3,3,2,2,3,4,2,2,3,4,4,2,5,4,1,3,2,1
1,20,4,2,3,5,5,2,2,3,2,3,2,1,2,3,2,1,2,2,2,3,5,3,3,1
1,20,3,2,2,2,1,3,2,1,1,1,1,2,1,1,1,2,2,1,1,5,4,4,2,0
1,20,1,1,2,1,2,4,3,3,3,4,3,2,3,4,3,2,2,1,1,1,4,4,3,1
1,19,3,4,3,5,4,1,1,1,3,3,2,3,3,3,2,3,4,4,3,3,3,3,1,1
1,19,1,2,3,2,1,2,3,4,2,2,3,2,2,2,3,2,3,1,1,3,4,3,3,1
1,20,3,3,2,3,4,4,3,1,1,1,1,3,1,1,1,3,4,2,3,4,4,4,1,1
1,20,4,3,2,1,1,1,1,2,4,3,4,4,4,3,4,4,4,2,3,5,1,3,1,1
1,20,2,2,1,3,2,4,3,2,1,4,1,2,1,4,1,2,3,1,4,3,4,1,3,1
1,20,5,2,2,3,2,1,1,1,1,3,3,3,1,3,3,3,3,2,1,3,4,4,2,1
0,21,4,3,2,1,1,2,2,2,2,3,5,3,2,3,5,3,2,1,3,3,4,2,1,1
1,19,2,2,1,3,2,1,1,1,1,4,2,4,1,4,2,4,4,3,1,3,3,3,3,1
0,20,3,2,2,2,2,1,5,3,2,3,3,3,2,3,3,3,3,5,2,2,3,2,1,1
0,21,3,3,4,3,2,2,3,5,3,2,3,1,3,2,3,1,3,3,4,3,4,5,3,1
1,19,3,2,3,2,3,3,4,5,2,1,3,1,2,1,3,1,5,4,5,5,4,4,1,1
0,22,2,3,4,2,2,4,4,2,4,4,4,2,3,4,3,4,2,2,3,4,1,5,4,1
0,21,1,1,2,1,2,1,4,5,3,1,3,1,2,3,2,2,2,2,1,3,5,3,1,1
0,22,4,4,2,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,4,2,2
0,20,1,3,2,1,3,1,5,5,1,2,1,4,3,3,1,3,3,1,3,5,4,2,3,1
1,22,4,2,2,3,2,1,3,5,3,3,1,4,4,2,4,3,2,3,4,5,4,2,3,1
0,22,4,3,4,1,1,1,3,1,4,1,2,5,4,3,4,3,2,2,1,5,1,1,4,1
0,19,3,2,3,5,5,4,5,4,3,4,3,3,2,1,1,1,2,5,5,5,3,4,4,1
0,19,1,1,1,1,1,1,3,2,3,1,2,3,2,4,3,3,2,4,2,2,3,4,4,1
0,19,1,2,1,1,4,5,4,4,5,1,1,3,4,4,1,3,3,2,4,4,4,5,2,1
0,19,2,3,2,2,2,1,3,1,3,1,4,3,2,1,2,5,4,3,1,4,4,2,2,1
0,19,2,3,3,5,5,5,5,5,5,5,4,4,4,2,2,3,2,3,5,5,5,3,1,2
1,20,2,3,3,1,1,2,1,2,1,2,3,1,1,1,2,1,2,1,1,2,4,4,2,0
1,19,3,3,3,5,5,5,3,5,2,5,4,3,3,1,3,4,2,1,2,3,4,4,2,1
0,19,2,3,3,2,2,3,5,2,1,2,5,2,5,1,3,2,2,3,1,3,3,3,2,1
0,19,4,4,2,2,3,2,4,3,2,3,4,4,4,3,4,1,2,3,4,4,3,2,3,1
1,20,3,3,2,3,1,2,3,1,1,3,2,1,3,2,3,3,3,4,2,1,3,4,2,1
1,21,3,3,3,3,4,5,5,5,4,5,5,4,5,3,3,5,3,4,3,4,4,3,1,2
1,19,2,3,3,1,2,2,4,3,1,2,1,4,1,2,3,4,4,1,1,5,4,4,1,1
1,19,3,2,3,4,3,3,3,3,4,1,1,3,3,3,4,2,1,5,5,4,3,3,2,1
0,21,3,3,3,1,1,1,2,1,2,3,2,3,5,3,4,3,4,2,2,4,4,4,2,1
0,20,3,2,3,1,1,4,2,2,2,1,1,4,2,4,3,3,2,2,3,2,2,2,1,1
0,19,3,2,3,2,2,2,4,4,3,4,2,3,3,3,3,3,3,1,2,4,4,2,1,1
0,21,4,1,1,5,5,1,5,5,2,3,3,2,3,1,1,1,5,2,1,4,4,3,3,1
0,19,1,3,1,5,1,1,3,1,2,1,2,1,3,1,3,2,2,5,4,5,2,3,2,1
0,17,1,1,2,5,3,3,2,1,2,3,5,3,3,3,3,3,4,3,3,4,2,5,3,1
0,100,5,5,1,2,1,3,3,2,4,3,3,3,2,2,4,1,1,1,3,4,5,1,5,1
0,18,2,1,3,4,1,5,4,4,1,1,2,1,2,5,1,1,1,1,5,1,2,5,3,1
0,19,1,2,3,2,3,1,5,1,2,1,1,3,2,4,4,4,2,2,1,2,2,3,2,1
0,18,2,2,2,4,4,4,4,1,1,1,2,1,2,3,1,2,2,4,2,2,3,5,5,1
0,19,2,2,3,3,4,1,3,1,2,2,3,2,2,3,1,2,3,2,4,4,3,3,4,1
0,18,2,4,4,3,4,1,3,4,2,1,3,4,4,4,2,3,4,3,3,3,2,4,4,1
0,18,2,2,4,2,1,1,2,2,4,1,2,1,1,4,2,4,3,1,1,1,3,5,2,1
0,17,2,5,3,5,1,1,2,3,2,3,3,4,4,4,2,4,4,3,1,5,4,4,4,1
0,18,5,1,1,2,1,2,3,4,3,2,2,1,1,1,1,1,1,1,2,4,3,4,4,1
1,17,2,4,3,3,2,2,4,3,1,1,2,2,1,1,1,1,1,1,2,3,2,4,3,1
0,18,1,4,2,3,4,2,4,4,3,1,5,3,5,1,1,1,1,1,2,3,4,4,1,1
0,18,1,2,1,2,1,1,1,1,1,1,3,2,2,4,3,5,3,2,3,3,2,4,2,1
0,19,1,3,2,3,4,1,1,1,1,2,3,1,4,2,1,3,5,4,4,1,5,5,3,1
0,19,5,2,3,2,1,1,1,1,1,5,2,2,3,2,2,1,1,1,1,4,5,5,5,1
0,19,2,5,1,2,2,3,5,3,2,1,2,3,3,4,1,2,3,2,2,2,2,4,2,1
0,18,1,1,1,5,3,1,3,5,4,2,1,3,4,3,3,3,4,4,1,2,1,4,3,1
0,19,5,4,2,3,2,2,1,1,1,1,1,2,3,3,1,2,3,1,3,5,3,3,4,1
0,19,2,4,3,3,1,1,2,3,2,5,5,5,5,5,5,5,5,5,3,3,2,4,2,1
0,18,3,4,2,2,2,3,3,4,4,1,3,1,1,2,1,1,1,2,2,2,5,4,4,1
0,17,1,2,1,2,3,1,2,3,1,1,4,3,5,3,3,3,3,3,3,4,1,1,1,1
0,19,4,4,3,1,4,5,5,5,5,5,4,4,2,3,1,1,4,1,1,3,4,4,2,1
0,18,4,2,1,1,1,1,1,1,2,1,1,2,3,3,3,3,3,4,3,4,4,4,3,1
0,19,2,3,3,2,4,3,3,3,3,2,2,5,4,3,3,3,3,1,3,5,2,4,1,1
1,21,4,4,4,3,2,1,1,4,1,1,3,5,5,5,5,5,5,1,4,3,3,3,4,1
0,20,4,3,4,3,2,3,3,3,4,1,1,2,4,3,1,2,3,1,1,3,5,3,2,1
1,20,5,3,3,4,2,3,3,3,1,1,3,2,5,3,3,3,5,5,3,3,3,4,3,1
1,21,4,4,4,4,4,5,5,5,1,5,2,5,3,5,2,5,5,5,1,3,5,4,3,2
0,20,2,4,4,5,3,1,2,3,1,1,2,1,3,1,3,2,2,2,2,2,4,1,2,1
0,20,4,2,2,3,3,3,3,5,5,1,2,1,3,3,3,3,4,4,1,4,3,5,4,1
1,20,5,2,1,3,2,2,5,5,5,1,5,3,2,1,2,4,2,1,3,1,5,5,1,1
0,21,5,4,2,3,5,3,2,2,2,2,3,5,4,2,5,4,3,1,2,4,5,4,1,1
